#,@type,title,description,identifier,theme,keyword,issued,modified,accrualPeriodicity,temporal,spatial,describedBy,references,license,publisher,contactPoint,@type-resource,identifier-resource,title-resource,description-resource,mediaType-resource,byteSize-resource,describedBy-resource,accessURL-resource,downloadURL-resource
1,"@type: ""dcat:Dataset""",Ejecución mensual de egresos de 2018,"La Administración Financiera del Sector Público cuenta con diferentes agrupaciones o entes, que tienen como función disponer de los recursos financieros del Sector Público, siendo éstas las responsables de programar y evaluar el presupuesto, administrar el sistema tributario, realizar la gestión de las  peraciones de crédito público, regular la ejecución de los gastos e ingresos, administrar el tesoro y contabilizar las transacciones relacionadas con la captación y colocación de los fondos público, Este conjunto de datos contiene las transacciones acumuladas durante el año 2018, así como las acumuladas en cada mes del año.",Ejecución-mensual-de-egresos-2018,Economía,"Ejecución, Egresos, Objeto del gasto,Clase del gasto,Fuente de Financiamiento",2/1/2018,2019-2-1,R/P1M,2018,http://www.geonames.org/3608932,http://www.sefin.gob.hn/Ejecución-presupuestaria/,,https://creativecommons.org/licenses/by-sa/4.0/deed.es_ES,Dirección de Transparencia - SEFIN,transparencia@sefin.gob.hn,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-2018-csv,Ejecución de egresos de 2018 en formato CSV,Ejecución de egresos del 2018 en formato CSV,CSV,25468735,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201800.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-2018-xls,Ejecución de egresos de 2018 en formato XLSX,Ejecución de egresos del 2018 en formato XLSX,XLSX,8614162,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201800.xlsx
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-2018-json,Ejecución de egresos de 2018 en formato JSON,Ejecución de egresos del 2018 en formato JSON,JSON,57875621,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201800.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Enero-de-2018-csv,Ejecución mensual de egresos de Enero de 2018 en formato CSV,Ejecución mensual de egresos de Enero de 2018 en formato CSV,CSV,1985176,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201801.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Enero-de-2018-json,Ejecución mensual de egresos de Enero de 2018 en formato JSON,Ejecución mensual de egresos de Enero de 2018 en formato JSON,JSON,4216469,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201801.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Enero-de-2018-xls,Ejecución mensual de egresos de Enero de 2018 en formato XLS,Ejecución mensual de egresos de Enero de 2018 en formato XLS,XLS,1549312,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201801.xls
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Febrero-de-2018-csv,Ejecución mensual de egresos de Febrero de 2018 en formato CSV,Ejecución mensual de egresos de Febrero de 2018 en formato CSV,CSV,2038817,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201802.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Febrero-de-2018-json,Ejecución mensual de egresos de Febrero de 2018 en formato JSON,Ejecución mensual de egresos de Febrero de 2018 en formato JSON,JSON,4328340,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201802.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Febrero-de-2018-xls,Ejecución mensual de egresos de Febrero de 2018 en formato XLS,Ejecución mensual de egresos de Febrero de 2018 en formato XLS,XLS,1594368,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201802.xls
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Marzo-de-2018-csv,Ejecución mensual de egresos de Marzo de 2018 en formato CSV,Ejecución mensual de egresos de Marzo de 2018 en formato CSV,CSV,2078951,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201803.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Marzo-de-2018-json,Ejecución mensual de egresos de Marzo de 2018 en formato JSON,Ejecución mensual de egresos de Marzo de 2018 en formato JSON,JSON,4442422,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201803.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Marzo-de-2018-xls,Ejecución mensual de egresos de Marzo de 2018 en formato XLS,Ejecución mensual de egresos de Marzo de 2018 en formato XLS,XLS,1654784,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201803.xls
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Abril-de-2018-csv,Ejecución mensual de egresos de Abril de 2018 en formato CSV,Ejecución mensual de egresos de Abril de 2018 en formato CSV,CSV,2127538,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201804.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Abril-de-2018-json,Ejecución mensual de egresos de Abril de 2018 en formato JSON,Ejecución mensual de egresos de Abril de 2018 en formato JSON,JSON,4554060,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201804.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Abril-de-2018-xls,Ejecución mensual de egresos de Abril de 2018 en formato XLS,Ejecución mensual de egresos de Abril de 2018 en formato XLS,XLS,1704448,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201804.xls
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Mayo-de-2018-csv,Ejecución mensual de egresos de Mayo de 2018 en formato CSV,Ejecución mensual de egresos de Mayo de 2018 en formato CSV,CSV,2166100,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201805.csv
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Mayo-de-2018-json,Ejecución mensual de egresos de Mayo de 2018 en formato JSON,Ejecución mensual de egresos de Mayo de 2018 en formato JSON,JSON,4665562,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201805.json
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",Ejecución-mensual-de-egresos-de-Mayo-de-2018-xls,Ejecución mensual de egresos de Mayo de 2018 en formato XLS,Ejecución mensual de egresos de Mayo de 2018 en formato XLS,XLS,1756160,http://www.sefin.gob.hn/wp-content/uploads/2018/12/jsonschema.txt,,http://www.sefin.gob.hn/odata/egames/201805.xls
